# P(phi|x) [1/rad]: each x column normalized over phi. blank line separates x scans (for surf)
x phi p
0.1650 6.19592 0.03557

0.1750 0.08727 0.06157
0.1750 0.26180 0.09813
0.1750 0.43633 0.15117
0.1750 0.61087 0.22103
0.1750 0.78540 0.30051
0.1750 0.95993 0.39115
0.1750 1.13446 0.46648
0.1750 1.30900 0.53127
0.1750 1.48353 0.56087
0.1750 1.65806 0.55518
0.1750 1.83260 0.53320
0.1750 2.00713 0.46265
0.1750 2.18166 0.38778
0.1750 2.35619 0.30127
0.1750 2.53073 0.21972
0.1750 2.70526 0.15071
0.1750 2.87979 0.09745
0.1750 3.05433 0.06138
0.1750 3.22886 0.03581
0.1750 3.40339 0.02101
0.1750 3.57792 0.01332
0.1750 3.75246 0.00785
0.1750 3.92699 0.00444
0.1750 4.10152 0.00250
0.1750 4.27606 0.00188
0.1750 4.45059 0.00145
0.1750 4.62512 0.00137
0.1750 4.79966 0.00103
0.1750 4.97419 0.00125
0.1750 5.14872 0.00179
0.1750 5.32325 0.00282
0.1750 5.49779 0.00429
0.1750 5.67232 0.00737
0.1750 5.84685 0.01165
0.1750 6.02139 0.02158
0.1750 6.19592 0.03664

0.1850 0.08727 0.06099
0.1850 0.26180 0.09904
0.1850 0.43633 0.15356
0.1850 0.61087 0.22334
0.1850 0.78540 0.30190
0.1850 0.95993 0.38667
0.1850 1.13446 0.46587
0.1850 1.30900 0.52861
0.1850 1.48353 0.55994
0.1850 1.65806 0.56128
0.1850 1.83260 0.52970
0.1850 2.00713 0.46520
0.1850 2.18166 0.38540
0.1850 2.35619 0.30004
0.1850 2.53073 0.22030
0.1850 2.70526 0.15301
0.1850 2.87979 0.09747
0.1850 3.05433 0.05902
0.1850 3.22886 0.03712
0.1850 3.40339 0.02160
0.1850 3.57792 0.01188
0.1850 3.75246 0.00702
0.1850 3.92699 0.00361
0.1850 4.10152 0.00233
0.1850 4.27606 0.00207
0.1850 4.45059 0.00141
0.1850 4.62512 0.00124
0.1850 4.79966 0.00100
0.1850 4.97419 0.00185
0.1850 5.14872 0.00219
0.1850 5.32325 0.00289
0.1850 5.49779 0.00455
0.1850 5.67232 0.00705
0.1850 5.84685 0.01180
0.1850 6.02139 0.02201
0.1850 6.19592 0.03663

0.1950 0.08727 0.06070
0.1950 0.26180 0.09973
0.1950 0.43633 0.14997
0.1950 0.61087 0.22102
0.1950 0.78540 0.30113
0.1950 0.95993 0.38500
0.1950 1.13446 0.46415
0.1950 1.30900 0.53064
0.1950 1.48353 0.56488
0.1950 1.65806 0.56633
0.1950 1.83260 0.52950
0.1950 2.00713 0.46773
0.1950 2.18166 0.38323
0.1950 2.35619 0.30261
0.1950 2.53073 0.21481
0.1950 2.70526 0.15199
0.1950 2.87979 0.09828
0.1950 3.05433 0.06049
0.1950 3.22886 0.03699
0.1950 3.40339 0.02080
0.1950 3.57792 0.01155
0.1950 3.75246 0.00706
0.1950 3.92699 0.00370
0.1950 4.10152 0.00282
0.1950 4.27606 0.00171
0.1950 4.45059 0.00152
0.1950 4.62512 0.00132
0.1950 4.79966 0.00127
0.1950 4.97419 0.00199
0.1950 5.14872 0.00198
0.1950 5.32325 0.00324
0.1950 5.49779 0.00469
0.1950 5.67232 0.00724
0.1950 5.84685 0.01210
0.1950 6.02139 0.02109
0.1950 6.19592 0.03629

0.2050 0.08727 0.05987
0.2050 0.26180 0.09662
0.2050 0.43633 0.14881
0.2050 0.61087 0.22204
0.2050 0.78540 0.29957
0.2050 0.95993 0.38768
0.2050 1.13446 0.47007
0.2050 1.30900 0.52913
0.2050 1.48353 0.56553
0.2050 1.65806 0.56474
0.2050 1.83260 0.52759
0.2050 2.00713 0.46689
0.2050 2.18166 0.38754
0.2050 2.35619 0.29713
0.2050 2.53073 0.21836
0.2050 2.70526 0.14923
0.2050 2.87979 0.09840
0.2050 3.05433 0.06047
0.2050 3.22886 0.03536
0.2050 3.40339 0.02120
0.2050 3.57792 0.01182
0.2050 3.75246 0.00711
0.2050 3.92699 0.00419
0.2050 4.10152 0.00308
0.2050 4.27606 0.00225
0.2050 4.45059 0.00181
0.2050 4.62512 0.00165
0.2050 4.79966 0.00199
0.2050 4.97419 0.00209
0.2050 5.14872 0.00248
0.2050 5.32325 0.00321
0.2050 5.49779 0.00464
0.2050 5.67232 0.00786
0.2050 5.84685 0.01250
0.2050 6.02139 0.02129
0.2050 6.19592 0.03536

0.2150 0.08727 0.05946
0.2150 0.26180 0.09808
0.2150 0.43633 0.14823
0.2150 0.61087 0.21606
0.2150 0.78540 0.30098
0.2150 0.95993 0.38722
0.2150 1.13446 0.46989
0.2150 1.30900 0.53182
0.2150 1.48353 0.56393
0.2150 1.65806 0.56657
0.2150 1.83260 0.52991
0.2150 2.00713 0.46596
0.2150 2.18166 0.38486
0.2150 2.35619 0.30554
0.2150 2.53073 0.21855
0.2150 2.70526 0.14713
0.2150 2.87979 0.09764
0.2150 3.05433 0.05936
0.2150 3.22886 0.03425
0.2150 3.40339 0.02050
0.2150 3.57792 0.01212
0.2150 3.75246 0.00714
0.2150 3.92699 0.00454
0.2150 4.10152 0.00291
0.2150 4.27606 0.00266
0.2150 4.45059 0.00205
0.2150 4.62512 0.00182
0.2150 4.79966 0.00213
0.2150 4.97419 0.00235
0.2150 5.14872 0.00252
0.2150 5.32325 0.00326
0.2150 5.49779 0.00462
0.2150 5.67232 0.00777
0.2150 5.84685 0.01276
0.2150 6.02139 0.01999
0.2150 6.19592 0.03498

0.2250 0.08727 0.05780
0.2250 0.26180 0.09587
0.2250 0.43633 0.14760
0.2250 0.61087 0.21931
0.2250 0.78540 0.30021
0.2250 0.95993 0.38592
0.2250 1.13446 0.47194
0.2250 1.30900 0.53339
0.2250 1.48353 0.56271
0.2250 1.65806 0.56486
0.2250 1.83260 0.52997
0.2250 2.00713 0.47109
0.2250 2.18166 0.39281
0.2250 2.35619 0.29792
0.2250 2.53073 0.21687
0.2250 2.70526 0.15023
0.2250 2.87979 0.09665
0.2250 3.05433 0.06007
0.2250 3.22886 0.03560
0.2250 3.40339 0.02026
0.2250 3.57792 0.01172
0.2250 3.75246 0.00689
0.2250 3.92699 0.00493
0.2250 4.10152 0.00309
0.2250 4.27606 0.00231
0.2250 4.45059 0.00165
0.2250 4.62512 0.00189
0.2250 4.79966 0.00167
0.2250 4.97419 0.00201
0.2250 5.14872 0.00211
0.2250 5.32325 0.00297
0.2250 5.49779 0.00504
0.2250 5.67232 0.00682
0.2250 5.84685 0.01133
0.2250 6.02139 0.02053
0.2250 6.19592 0.03354

0.2350 0.08727 0.05825
0.2350 0.26180 0.09558
0.2350 0.43633 0.14942
0.2350 0.61087 0.21706
0.2350 0.78540 0.29635
0.2350 0.95993 0.38504
0.2350 1.13446 0.47312
0.2350 1.30900 0.53800
0.2350 1.48353 0.57250
0.2350 1.65806 0.57057
0.2350 1.83260 0.53369
0.2350 2.00713 0.46788
0.2350 2.18166 0.38685
0.2350 2.35619 0.29693
0.2350 2.53073 0.21692
0.2350 2.70526 0.14603
0.2350 2.87979 0.09500
0.2350 3.05433 0.05780
0.2350 3.22886 0.03492
0.2350 3.40339 0.01967
0.2350 3.57792 0.01178
0.2350 3.75246 0.00740
0.2350 3.92699 0.00399
0.2350 4.10152 0.00268
0.2350 4.27606 0.00199
0.2350 4.45059 0.00155
0.2350 4.62512 0.00166
0.2350 4.79966 0.00187
0.2350 4.97419 0.00154
0.2350 5.14872 0.00211
0.2350 5.32325 0.00305
0.2350 5.49779 0.00400
0.2350 5.67232 0.00676
0.2350 5.84685 0.01188
0.2350 6.02139 0.02069
0.2350 6.19592 0.03503

0.2450 0.08727 0.05870
0.2450 0.26180 0.09560
0.2450 0.43633 0.14563
0.2450 0.61087 0.21540
0.2450 0.78540 0.29940
0.2450 0.95993 0.38843
0.2450 1.13446 0.46745
0.2450 1.30900 0.53645
0.2450 1.48353 0.57291
0.2450 1.65806 0.57144
0.2450 1.83260 0.53481
0.2450 2.00713 0.47137
0.2450 2.18166 0.38609
0.2450 2.35619 0.30064
0.2450 2.53073 0.21535
0.2450 2.70526 0.14538
0.2450 2.87979 0.09689
0.2450 3.05433 0.05830
0.2450 3.22886 0.03253
0.2450 3.40339 0.01983
0.2450 3.57792 0.01113
0.2450 3.75246 0.00692
0.2450 3.92699 0.00467
0.2450 4.10152 0.00284
0.2450 4.27606 0.00211
0.2450 4.45059 0.00161
0.2450 4.62512 0.00183
0.2450 4.79966 0.00156
0.2450 4.97419 0.00168
0.2450 5.14872 0.00206
0.2450 5.32325 0.00289
0.2450 5.49779 0.00439
0.2450 5.67232 0.00690
0.2450 5.84685 0.01151
0.2450 6.02139 0.01969
0.2450 6.19592 0.03519

0.2550 0.08727 0.05826
0.2550 0.26180 0.09739
0.2550 0.43633 0.14973
0.2550 0.61087 0.21868
0.2550 0.78540 0.29777
0.2550 0.95993 0.38697
0.2550 1.13446 0.47217
0.2550 1.30900 0.53800
0.2550 1.48353 0.57237
0.2550 1.65806 0.57208
0.2550 1.83260 0.53194
0.2550 2.00713 0.46999
0.2550 2.18166 0.38412
0.2550 2.35619 0.29529
0.2550 2.53073 0.21253
0.2550 2.70526 0.14519
0.2550 2.87979 0.09427
